0.7560582409	river
0.7540526785	washington
0.7528031959	ii
0.7502286399	poker
0.7488051146	western
0.7483205990	europe
0.7467235242	montreal
0.7465492282	melbourne
0.7460394768	jersey
0.7447038580	germany
0.7439306056	railway
0.7424070326	maine
0.7410254853	dance
0.7404647456	railroad
0.7385177388	george
0.7367582561	society
0.7361952636	rights
0.7361521666	party
0.7358372927	mendelssohn
0.7355924369	water
0.7339779826	college
0.7323544959	john
0.7313971261	park
0.7313093424	army
0.7302282158	force
0.7301051662	radio
0.7284396192	festival
0.7283897554	great
0.7276426903	county
0.7276273063	association
0.7276200844	august
0.7271708879	community
0.7260712970	miami
0.7254803732	design
0.7252641016	spanish
0.7243757264	french
0.7233608972	area
0.7229498180	street
0.7226342319	convention
0.7211895087	video
0.7210363899	football
0.7204408256	east
0.7199272537	division
0.7192718243	australian
0.7188744448	major
0.7180621746	texas
0.7176031510	district
0.7168262399	australia
0.7163097165	laboratory
0.7158750342	british
0.7157589259	song
0.7133354852	number
0.7127812727	high
0.7115295025	rock
0.7113782521	south
0.7100036443	state
0.7099449476	air
0.7099368838	william
0.7095987980	general
0.7095189527	fairmont
0.7068539025	member
0.7062117504	station
0.7058991983	badminton
0.7054213583	film
0.7052053052	atlantic
0.7044852517	institute
0.7040989790	small
0.7038999019	market
0.7038377740	hospital
0.7025679763	public
0.7016946010	school
0.7013191779	club
0.7005063877	north
0.7004307044	goa
0.6993976581	island
0.6982014956	england
0.6975587587	war
0.6971879264	anthem
0.6970015464	national
0.6969110039	beautiful
0.6967628166	tower
0.6958203072	life
0.6951556609	record
0.6949340111	forces
0.6948059898	village
0.6947560280	jazz
0.6935566774	hockey
0.6932350081	cash
0.6926635250	house
0.6922362593	express
0.6916168101	california
0.6908740722	gauge
0.6900508374	service
0.6898970312	battle
0.6896760102	dutch
0.6893381216	stop
0.6887993661	portuguese
0.6884974615	news
0.6884123536	american
0.6882714828	league
0.6873734325	based
0.6861122042	located
0.6860638523	games
0.6851408705	sport
0.6849660690	times
0.6840769545	city
0.6828633418	company
0.6819203426	group
0.6819179942	cable
0.6818394028	released
0.6787758502	circuit
0.6763534420	death
0.6762410234	guitar
0.6745254154	center
0.6745068837	west
0.6735963561	field
0.6730180931	train
0.6728863043	world
0.6720279363	hall
0.6711987313	live
0.6682373380	united
0.6676762871	end
0.6653371609	trophy
0.6647200475	international
0.6645693831	states
0.6638380061	official
0.6609714108	list
0.6605465469	road
0.6576359543	ben
0.6570947199	september
0.6569177753	series
0.6560223734	band
0.6556434640	music
0.6544077517	court
0.6531606158	age
0.6523344403	album
0.6491994434	broadcast
0.6482871962	original
0.6482406107	line
0.6478948979	pro
0.6438686495	born
0.6429684381	local
0.6418960952	player
0.6370058743	challenge
0.6321140956	companies
0.6256686546	index
0.6240863509	support
0.6229422781	popular
0.6228051625	late
0.6228051625	run
0.6139680846	january
0.6123470014	game
0.6053743944	tour
0.5996999395	german
0.5981573286	track
0.5884117601	bobick
0.5688655332	team
0.5671102922	f
0.5630198243	ahac
0.5626030859	divar
0.5625397363	classic
0.5610248155	trax
0.5601915302	english
0.5567004088	citrone
0.5567004088	bridgton
0.5566190245	france
0.5534824593	lie
0.5513844880	budjana
0.5508963043	next
0.5504512660	top
0.5495677903	fellow
0.5489937716	era
0.5485808852	ez2dj
0.5485808852	november
0.5467221346	left
0.5464880334	uk
0.5445547558	b
0.5444053963	professor
0.5403926226	colonel
0.5395442769	action
0.5343821286	same
0.5318900258	caloi
0.5306357384	angelo
0.5287402338	home
0.5250483234	government
0.5233394570	july
0.5226224926	son
0.5225145914	few
0.5168544483	century
0.5144421108	sound
0.5131529382	order
